Country,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Meat,Miscellaneous,Milk - Excluding Butter,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population),,,,,
Congo,0.339,0,2.7016,0.1377,1.854,9.6514,0.053,0.678,26.0091,0.5827,8.4,40.3,0.57167452,0.014516129,0.379720913,0.177437477,5518000,%,,,,,
Costa Rica,6.1,0,1.6733,1.1492,0.9286,5.6449,0.0138,6.67,24.8736,0.1701,25.7,4.8,3.843435727,0.052279397,3.055781647,0.735374682,5111000,%,,,,,
Cote d'Ivoire,0.2726,0,4.9709,0.4271,1.2268,2.5809,0.0091,0.5634,27.7354,0.3272,9,19,0.11295893,0.000618911,0.106105062,0.006234957,26175000,%,,,,,
Croatia,7.4457,0,2.9565,0.9476,0.5633,11.4896,0,8.7951,11.7123,0.393,27.1,<2.5,5.848905473,0.127960199,5.648706468,0.072238806,4020000,%,,,,,
Cuba,3.2213,0,4.4779,1.4788,0.2638,16.0233,0.0139,4.7695,14.5446,0.5554,26.7,<2.5,0.283760305,0.00206542,0.230821736,0.05087315,11281000,%,,,,,
Cyprus,1.8698,0,3.4616,1.0044,0.7309,10.5506,0.1614,6.6945,19.7381,0.2601,22.6,5.6,2.621706711,0.017481359,0.170422535,2.433802817,1207000,%,,,,,
Czechia,9.7011,0,1.1998,0.8222,0.3,8.6212,0.0212,5.6463,21.2267,0.1729,28.5,<2.5,9.612840612,0.159845091,8.555328481,0.89766704,10716000,%,,,,,
Denmark,14.2498,0,1.4741,1.7484,1.1313,9.2408,0,8.8142,8.4752,0.2819,21.3,<2.5,3.463218391,0.038016812,3.307359753,0.117841825,5829000,%,,,,,
Djibouti,1.3966,0,4.3977,0.2494,0.291,5.121,0.1413,3.8573,31.449,0.4572,12.2,18.9,0.601315789,0.006376518,0.592307692,0.002631579,988000,%,,,,,
Dominica,3.8063,0,1.4913,0.3619,1.6536,13.7339,0.1123,7.232,12.3237,0.2309,28.2,6.2,0.168055556,0,0.152777778,0.015277778,72000,%,,,,,
Dominican Republic,2.2261,0,1.4528,1.1248,0.2484,7.3718,0.0422,4.1194,25.8881,0.1218,26.9,9.5,2.115695238,0.02667619,1.577704762,0.511314286,10500000,%,,,,,
Ecuador,4.7198,0,3.6672,1.0246,0.2519,8.7453,0.028,6.0803,23.5541,0.084,19.3,7.9,1.468305636,0.085683285,1.198183999,0.184438353,17511000,%,,,,,
Egypt,3.4231,0,13.4988,0.8448,1.32,6.4678,0.0088,3.6343,13.6132,0.66,31.1,4.5,0.167758896,0.009527494,0.131002054,0.027229348,100803000,%,,,,,
El Salvador,6.3901,0,8.1958,1.6034,0.4514,6.6547,0.1012,8.1491,10.2506,0.4514,22.7,9,0.867721031,0.025813918,0.77813609,0.063771023,6481000,%,,,,,
Estonia,6.5339,0,2.8982,1.583,0.2818,10.4279,0.0188,14.275,8.4457,0.2865,23.8,2.9,3.569646882,0.034259955,2.828549962,0.706836965,1331000,%,,,,,
Eswatini,3.1415,0,12.0023,0.4718,0.3682,11.1162,0.1151,5.4315,10.9436,0.1956,13.5,20.6,1.46567029,0.054710145,1.038858696,0.372101449,1104000,%,,,,,
Ethiopia,1.4358,0,11.3929,0.2238,0.0559,4.1768,0,5.1091,17.4156,0.1305,3.6,20.6,0.12309252,0.001866581,0.109237182,0.011988757,114916000,%,,,,,
Fiji,7.6883,0,1.5114,0.5773,1.4694,8.423,0.0262,1.7948,17.8168,0.1732,30,3.7,0.00625,0.000223214,0.005915179,0.000111607,896000,%,,,,,
Finland,6.3787,0,1.7872,0.8524,0.9384,16.6649,0.1146,11.8155,8.8607,0.2041,24.9,<2.5,0.854801953,0.01244348,0.560680051,0.281678423,5529000,%,,,,,
France,9.1996,0,1.4334,0.9894,0.8752,11.0864,0.0159,7.9533,15.4658,0.1776,23.2,<2.5,5.199054512,0.121558362,0.367876501,4.709619649,64940000,%,,,,,
French Polynesia,4.6648,0,3.7271,0.822,1.5842,14.0782,0.2913,3.8827,14.0024,0.1397,NA,4.2,NA,NA,NA,NA,280000,%,,,,,
Gabon,0.7379,0,4.1074,0.1956,2.0359,13.4068,0.1422,2.2937,15.3805,0.2045,13.4,10.5,0.513536531,0.003182429,0.483953384,0.026400717,2231000,%,,,,,
Gambia,0.2548,0,4.9416,0.2113,1.3488,1.3488,0.0622,2.8468,25.9883,0.0746,8.7,10.2,0.175299959,0.005544063,0.160777824,0.008978072,2417000,%,,,,,
Georgia,7.2612,0,4.5695,1.1781,0.4284,7.2326,0.1071,9.0818,14.8579,0.1999,23.3,7.9,7.042261104,0.087994616,6.805248991,0.149017497,3715000,%,,,,,
Germany,11.0084,0,1.1778,1.0462,0.7019,8.9127,0,6.4289,16.8163,0.216,25.7,<2.5,2.74310084,0.073890756,2.451366146,0.217843938,83300000,%,,,,,
Ghana,0.806,0,5.6789,0.3472,2.7774,3.1618,0.0496,0.4216,20.4464,0.248,9.7,5.5,0.225424002,0.001444984,0.204363917,0.0196151,31073000,%,,,,,
Greece,1.6989,0,1.328,0.7749,0.3245,6.6267,0.0298,8.3355,25.5332,0.2848,27.4,<2.5,1.52535514,0.055616822,0.876299065,0.593439252,10700000,%,,,,,
Grenada,2.4889,0,1.4883,1.444,1.2856,12.9576,0.1267,4.8195,16.8841,0.1077,20.2,NA,0.130973451,0.000884956,0.12920354,0.000884956,113000,%,,,,,
Guatemala,1.7622,0,9.3956,2.6186,0.1482,7.0735,0.0247,3.7385,17.8113,0.2553,18.8,15.2,0.901898594,0.03240341,0.824294254,0.04520093,18066000,%,,,,,
Guinea,0.7557,0,4.7086,0.3125,0.5014,2.8993,0.0363,1.4896,30.6133,0.7848,6.6,16.5,0.116759554,0.00066879,0.114012739,0.002078025,12560000,%,,,,,
Guinea-Bissau,0.6274,0,2.8828,0.1509,0.0715,8.0527,0.0556,1.8027,30.3288,0.0794,8.2,28,0.143850545,0.00238713,0.125947068,0.015516347,1927000,%,,,,,
Guyana,1.002,0,2.9072,0.334,1.169,12.555,0.0911,7.6287,9.0633,1.1538,19.2,8.1,1.008767471,0.022871665,0.884625159,0.101270648,787000,%,,,,,
Haiti,1.7481,0,5.7517,0.1353,0.3722,7.8944,0.0564,1.8608,25.1494,0.1241,20.5,49.3,0.103113216,0.002148557,0.080294659,0.020669999,11403000,%,,,,,
Honduras,2.6611,0,8.3159,0.7448,0.1302,7.8603,0.0651,5.2281,22.8722,0.1157,19.4,12.9,1.560269667,0.037611517,0.626368613,0.896289538,9864000,%,,,,,
Hungary,12.3082,0,1.2735,1.2018,0.1954,10.0576,0,5.2308,18.0699,0.2019,28.6,<2.5,3.840739224,0.133367462,2.845797072,0.86157469,9767000,%,,,,,
Iceland,7.1086,0,4.3005,0.8991,1.6872,13.6029,0.1199,11.0046,7.4053,0.1678,23.1,<2.5,1.636141304,0.007880435,1.619293478,0.008967391,368000,%,,,,,
India,7.4859,0,5.1196,0.7653,0.3783,0.9061,0,6.4919,21.7804,0.3958,3.8,14.5,0.77325641,0.011070352,0.751560674,0.010625384,1400100000,%,,,,,
Indonesia,0.7049,0,6.6871,1.4549,2.5122,3.6237,0,0.7049,24.0918,0.2711,6.9,8.3,0.422099883,0.01155263,0.345619878,0.064927375,271739000,%,,,,,
Iran (Islamic Republic of),6.0372,0,5.5867,1.3259,0.6114,6.1724,0,2.6389,20.2935,0.5278,25.5,4.9,1.734248366,0.069414141,1.482322044,0.182512181,84150000,%,,,,,
Iraq,3.8118,0,6.2761,1.9023,0.1441,3.5164,0.0432,1.7366,29.6152,0.1513,27.4,29,1.579398364,0.033004405,1.508286973,0.038106986,39725000,%,,,,,
Ireland,8.6472,0,2.7091,0.9231,0.9372,10.0477,0.0283,6.5464,16.1839,0.2405,26.9,<2.5,4.048530881,0.073435938,0.4669998,3.508095143,5003000,%,,,,,
Israel,1.2809,0,1.6083,0.87,0.5746,8.1541,0.0257,4.8443,25.1782,0.2857,26.7,<2.5,7.439051649,0.055023872,6.609635417,0.774392361,9216000,%,,,,,
Italy,5.3931,0,1.3598,1.0529,0.7327,8.7134,0.0198,5.9146,24.127,0.2277,22.9,<2.5,4.353685153,0.150927093,3.494528659,0.708229402,60296000,%,,,,,
Jamaica,6.1721,0.0064,2.2375,0.3242,1.2204,9.5156,0.1081,5.7081,18.1732,0.2924,24.4,8,0.599537202,0.012709149,0.435208259,0.151619794,2809000,%,,,,,
Japan,1.9098,0.0057,1.8642,3.1241,3.2666,7.8331,0.0285,3.2096,23.4308,0.3478,4.4,<2.5,0.320820532,0.005059262,0.284769821,0.03099145,125967000,%,,,,,
Jordan,1.8696,0,3.7391,0.5224,0.3189,5.8122,0.0385,3.6512,29.0553,0.2694,33.4,12.2,3.126275869,0.04091207,2.991759528,0.09360427,10679000,%,,,,,
Kazakhstan,3.0343,0,1.7405,0.8975,0.1321,9.674,0.0389,9.5031,21.7258,0.3497,21.3,<2.5,1.299402093,0.016650651,1.137764254,0.144987188,18732000,%,,,,,
Kenya,1.8742,0,9.9701,0.3438,0.2773,6.5654,0,8.4951,17.5003,0.2107,6,29.4,0.18997534,0.00331789,0.157491406,0.029166044,53528000,%,,,,,
