Country,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Meat,Miscellaneous,Milk - Excluding Butter,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population),,,,,
Spain,2.4641,0,1.078,1.2521,1.0814,9.2772,0,5.3601,25.6922,0.2611,27.1,<2.5,6.176110003,0.128867429,0.315683846,5.731558728,47635000,%,,,,,
Sri Lanka,0.3195,0,2.7159,1.1682,2.2766,2.027,0.01,4.2336,6.7,0.2396,5.4,9,0.312604276,0.001600036,0.285335278,0.025668961,21937000,%,,,,,
Sudan,1.7092,0,5.6998,0.2347,0.0587,7.0789,0.0073,10.8055,19.0214,0.3521,7.4,20.1,0.067581929,0.004175694,0.049702388,0.013703847,43849000,%,,,,,
Suriname,0.7849,0,3.1593,0.9601,0.772,10.639,0.1557,1.6867,26.9089,0.2789,26.5,8.5,1.429752066,0.026446281,1.318016529,0.085289256,605000,%,,,,,
Sweden,9.7148,0,1.9481,1.3741,0.8778,8.8481,0.0481,7.5926,16.663,0.2296,22.1,<2.5,5.666975041,0.116748579,0,5.550226462,10377000,%,,,,,
Switzerland,6.2293,0,1.1241,0.93,0.4048,12.0906,0,8.3804,17.3898,0.2141,21.2,<2.5,6.160215427,0.111257818,3.678480426,2.370477183,8634000,%,,,,,
Taiwan*,2.6952,0,1.1629,1.4818,0.4667,13.2817,0.0194,1.3223,24.8016,0.3111,NA,3.5,0.003913596,3.81E-05,0.003570521,0.000304956,23610000,%,,,,,
Tajikistan,0.0348,0,10.2035,0.5741,0.0174,7.159,0.0348,4.6799,22.7557,0.9395,12.6,NA,0.141139039,0.000954502,0.140184537,0,9429000,%,,,,,
Thailand,1.666,0,2.538,2.8961,1.7984,11.6621,0.0078,1.4636,20.2336,0.2102,10.8,7.8,0.035126402,0.000118736,0.025463673,0.009543993,66534000,%,,,,,
Timor-Leste,2.0345,0,10.2168,0.2446,0.7893,14.5525,0.1112,0.1779,15.9644,0.1668,2.9,24.9,0.006069803,0,0.004628225,0.001441578,1318000,%,,,,,
Togo,0.5351,0,8.9093,0.1962,0.5708,3.3889,0.0803,0.544,30.643,0.1516,7.1,16.1,0.065660104,0.000954222,0.054777147,0.009928735,8279000,%,,,,,
Trinidad and Tobago,5.3472,0,2.5134,0.6185,0.7816,11.386,0.1012,5.1279,18.4369,0.1799,19.7,5.5,0.556026297,0.009861213,0.529948868,0.016216216,1369000,%,,,,,
Tunisia,2.6543,0,3.2543,0.9255,0.5085,4.0323,0.0102,4.5764,28.1552,0.7627,27.3,4.3,1.817215871,0.060205111,1.453303631,0.303707128,11896000,%,,,,,
Turkey,2.9392,0,2.0428,0.825,0.1428,3.8475,0.0079,5.8586,27.8172,0.6703,32.2,<2.5,3.015137872,0.031867633,2.881050193,0.102220046,83737000,%,,,,,
Turkmenistan,6.4856,0,2.9938,1.106,0.1274,17.4764,0.0347,7.4411,11.761,0.4459,17.5,5.4,NA,NA,NA,NA,6031000,%,,,,,
Uganda,0.9627,0,3.4479,0.2239,0.862,6.101,0.0112,4.0188,25.0532,0.1567,4.1,41,0.087057563,0.000714895,0.031370106,0.054972563,45741000,%,,,,,
Ukraine,5.494,0,3.0837,2.4481,0.516,9.635,0.0063,8.691,17.4638,0.5223,26.1,3.5,3.075922734,0.059205802,2.653382163,0.363334769,41778000,%,,,,,
United Arab Emirates,4.0036,0,3.0418,1.1407,0.8108,9.461,0.1006,5.86,14.924,0.4306,29.9,2.6,3.307445285,0.009347515,3.079167519,0.218930252,9778000,%,,,,,
United Kingdom,4.2615,0,1.4678,1.0778,0.5176,12.5789,0.078,7.353,18.3507,0.2127,29.5,<2.5,5.868482728,0.167220071,0.01516081,5.686101846,67160000,%,,,,,
United Republic of Tanzania,1.5442,0,4.214,0.0744,0.4558,3.014,0,2.5023,27.0605,0.2419,7.1,30.7,0.000852111,3.52E-05,0.000306358,0.000510597,59734000,%,,,,,
United States of America,3.3013,0,1.2829,1.25,0.3887,9.4166,0,6.8359,23.6117,0.1944,37.3,<2.5,8.15992185,0.140103008,0,8.019818842,329878000,%,,,,,
Uruguay,3.4811,0,2.5698,1.2804,0.3281,12.2841,0.0456,8.0603,18.8819,0.2096,28.9,<2.5,1.269102237,0.013622203,1.089464741,0.166015293,3531000,%,,,,,
Uzbekistan,2.4884,0,2.7168,1.0639,0.0962,10.3624,0.012,11.805,18.4589,0.8535,15.3,6.3,0.231301574,0.001817171,0.226751331,0.002733072,34174000,%,,,,,
Vanuatu,1.9531,0,4.1249,0.3509,1.4343,9.9334,0.0254,1.1495,6.4849,0.1424,23.5,7.2,0.000311526,0,0.000311526,0,321000,%,,,,,
Venezuela (Bolivarian Republic of),2.2673,0,2.5449,0.6555,0.5707,7.0949,0.0077,5.5217,29.5211,0.1851,25.2,21.2,0.452585093,0.004286961,0.424398673,0.023899459,28645000,%,,,,,
Vietnam,3.8238,0,3.7155,0.7839,1.1217,26.4292,0.0064,0.752,5.6211,0.6373,2.1,9.3,0.002063217,3.64E-05,0.001525845,0.000500993,96209000,%,,,,,
Yemen,2.0131,0,11.5271,0.5514,0.3847,8.001,0.0256,1.3463,23.6312,0.1667,14.1,38.9,0.007131362,0.002061959,0.004787769,0.000281633,29826000,%,,,,,
Zambia,1.6113,0,14.3225,0.6266,1.007,4.901,0.0224,1.2756,15.2848,0.1567,6.5,46.7,0.334132942,0.004563751,0.290524369,0.039044822,18384000,%,,,,,
Zimbabwe,2.9543,0,9.7922,0.3682,0.2455,4.5674,0.0175,2.104,26.9396,0.0789,12.3,51.3,0.232032564,0.008854202,0.190964139,0.032214223,14863000,%,,,,,
